stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
1,1,Serra Mall @ the Oval,37.428881,-122.169137,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=1
2,2,Serra Mall @ Main Quad,37.429012,-122.170065,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=2
3,3,Serra Mall @ Memorial Auditorium,37.428438,-122.167105,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=3
4,4,Serra Mall @ Hoover Tower,37.428234,-122.166383,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=4
5,5,Galvez St. @ Memorial Way,37.429284,-122.164968,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=5
6,6,Galvez St. @ Montag Hall,37.429524,-122.164779,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=6
7,7,Galvez St. @ The Alumni Center,37.430592,-122.164523,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=7
8,8,Galvez St.@ The Track House,37.431728,-122.164008,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=8
10,10,Serra St @ Burnham Pavilion,37.427916,-122.164605,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=10
11,11,Serra St. @ Encina Hall,37.42773,-122.164061,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=11
12,12,"Serra St.@ Campus Dr.,",37.42711,-122.160785,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=12
13,13,Serra St. @ Manzanita Field,37.427013,-122.160691,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=13
14,14,Campus Dr. @ Serra St,37.426142,-122.159459,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=14
17,17,Campus Dr.@ Escondido Rd.,37.424045,-122.160693,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=17
18,18,Campus Drive @ Mirrelees Apartments,37.424458,-122.160321,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=18
19,19,"Campus Dr, @  Bowdoin St.",37.422793,-122.161118,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=19
20,20,Campus Drive @ Wilbur Parking Lot,37.422633,-122.161728,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=20
21,21,Campus Dr. @  Vaden Health Center,37.422369,-122.163736,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=21
22,22,Campus Drive at Wilbur Field,37.422605,-122.163814,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=22
23,23,Campus Dr. @ Munger Residence,37.422964,-122.165403,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=23
24,24,Campus Dr. @ Alvarado Row,37.422661,-122.165921,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=24
25,25,Campus Drive @ Mayfield North,37.421532,-122.168274,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=25
26,26,Campus Drive @ Mayfield South,37.42152,-122.168144,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=26
27,27,Tresidder Student Union,37.42374038,-122.1705856,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=27
28,28,Tresidder Student Union,37.423601,-122.170571,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=28
29,29,Lomita Drive @ Santa Theresa,37.425372,-122.173425,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=29
30,30,Lomita Drive @ The New Guinea Sculptures,37.425259,-122.173494,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=30
31,31,Samuel Morris Way @ Panama Mall,37.426324,-122.174085,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=31
32,32,Panama Mall @ Roble Gym,37.42647,-122.174228,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=32
35,35,Santa Theresa @ Roble Field,37.42609786,-122.176918,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=35
36,36,Santa Theresa @ The West Residences,37.425952,-122.176686,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=36
37,37,Santa Theresa @ Governors Corner,37.426497,-122.180534,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=37
38,38,Santa Theresa @ Los Arboles Ave.,37.426572,-122.180553,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=38
39,39,Olmsted Rd. @ Hoskins Court North,37.427126,-122.157483,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=39
40,40,Olmsted Rd @ Hoskins Ct. South,37.427443,-122.156897,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=40
41,41,82 Olmsted Rd. North,37.429612,-122.153819,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=41
42,42,82 Olmsted Rd. South,37.4295,-122.153442,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=42
43,43,Olmsted Rd. @ Hulme Ct North,37.428629,-122.155575,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=43
